level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	13	1	4	4	546	1474	70	19	96.275452	below
4	1	13	1	5	0	340	1496	274	25	-1	
5	1	13	1	5	1	340	1496	28	18	96.869766	Or
5	1	13	1	5	2	374	1497	73	21	96.298264	phone
5	1	13	1	5	3	454	1499	56	19	95.292435	1800
5	1	13	1	5	4	517	1501	45	18	95.292435	443
5	1	13	1	5	5	569	1503	45	18	94.741142	930
2	1	14	0	0	0	322	1551	306	50	-1	
3	1	14	1	0	0	322	1551	306	50	-1	
4	1	14	1	1	0	374	1551	204	22	-1	
5	1	14	1	1	1	374	1551	75	19	96.746819	Outlet
5	1	14	1	1	2	456	1553	31	18	95.161758	ID:
5	1	14	1	1	3	494	1554	84	19	95.161758	326174.
4	1	14	1	2	0	322	1576	306	25	-1	
5	1	14	1	2	1	322	1576	90	23	96.282150	Receipt
5	1	14	1	2	2	420	1578	101	21	96.369576	Number:
5	1	14	1	2	3	529	1582	99	19	96.126869	0231708
2	1	15	0	0	0	869	99	243	58	-1	
3	1	15	1	0	0	869	99	243	58	-1	
4	1	15	1	1	0	869	99	243	58	-1	
5	1	15	1	1	1	869	99	53	58	37.634296	rp)
5	1	15	1	1	2	931	114	116	24	96.606171	Australia
5	1	15	1	1	3	1054	115	58	22	96.498039	Post
2	1	16	0	0	0	845	167	292	104	-1	
3	1	16	1	0	0	845	167	292	104	-1	
4	1	16	1	1	0	890	167	202	15	-1	
5	1	16	1	1	1	890	168	111	14	95.549561	HAWTHORN
5	1	16	1	1	2	1009	168	39	14	96.270035	LPO,
5	1	16	1	1	3	1054	167	38	14	96.425972	3122
4	1	16	1	2	0	845	187	292	17	-1	
5	1	16	1	2	1	845	191	42	13	94.170372	ABN:
5	1	16	1	2	2	894	190	121	14	81.827339	75607652906
5	1	16	1	2	3	1021	189	48	13	96.005402	WCC:
5	1	16	1	2	4	1077	187	60	14	95.256142	326174
4	1	16	1	3	0	871	210	242	18	-1	
5	1	16	1	3	1	871	212	44	14	96.720787	Date:
5	1	16	1	3	2	922	211	111	17	92.667023	27/06/2025,
5	1	16	1	3	3	1039	210	74	14	86.803482	13:08:54
4	1	16	1	4	0	922	232	138	17	-1	
5	1	16	1	4	1	922	233	80	16	73.354492	Operator:
5	1	16	1	4	2	1009	232	51	13	96.040688	Jason
4	1	16	1	5	0	848	253	286	18	-1	
5	1	16	1	5	1	848	255	27	14	0.000000	Tit
5	1	16	1	5	2	881	255	28	13	96.636375	No:
5	1	16	1	5	3	917	255	20	13	96.025589	02
5	1	16	1	5	4	945	254	65	17	96.195770	Receipt
5	1	16	1	5	5	1016	254	29	13	91.344849	No:
5	1	16	1	5	6	1051	253	83	16	86.592285	62/31708
2	1	17	0	0	0	787	279	413	6	-1	
3	1	17	1	0	0	787	279	413	6	-1	
4	1	17	1	1	0	787	279	413	6	-1	
5	1	17	1	1	1	787	279	413	6	95.000000	 
2	1	18	0	0	0	786	291	412	21	-1	
3	1	18	1	0	0	786	291	412	21	-1	
4	1	18	1	1	0	786	291	412	21	-1	
5	1	18	1	1	1	786	295	92	17	96.767654	RECEIPT
5	1	18	1	1	2	1123	292	12	16	94.298561	3
5	1	18	1	1	3	1141	291	57	17	91.907539	items
2	1	19	0	0	0	789	325	404	116	-1	
3	1	19	1	0	0	789	325	404	71	-1	
4	1	19	1	1	0	789	325	404	23	-1	
5	1	19	1	1	1	789	331	58	14	93.237282	Article
5	1	19	1	1	2	854	330	98	18	93.088638	Lodgement
5	1	19	1	1	3	1116	328	16	13	86.087914	x1
5	1	19	1	1	4	1145	325	48	17	86.087914	$0.00
4	1	19	1	2	0	803	352	313	18	-1	
5	1	19	1	2	1	803	356	50	13	24.661850	Smal
5	1	19	1	2	2	859	356	50	12	91.795792	Letter
5	1	19	1	2	3	916	354	32	13	96.767235	size
5	1	19	1	2	4	955	353	70	17	94.890053	(prepaid
5	1	19	1	2	5	1031	352	85	17	96.415367	envelope)
4	1	19	1	3	0	803	378	150	18	-1	
5	1	19	1	3	1	803	378	73	18	96.114830	Tracking
5	1	19	1	3	2	883	378	70	14	96.263412	number:
3	1	19	2	0	0	805	401	300	40	-1	
4	1	19	2	1	0	805	401	300	16	-1	
5	1	19	2	1	1	805	404	60	13	89.906548	RPP44
5	1	19	2	1	2	869	403	57	13	96.507812	63800
5	1	19	2	1	3	932	403	58	13	95.565620	09400
5	1	19	2	1	4	996	402	50	13	96.269753	60515
5	1	19	2	1	5	1053	401	52	14	92.267441	91609
4	1	19	2	2	0	805	426	136	15	-1	
5	1	19	2	2	1	805	426	85	15	93.023117	Postcode:
5	1	19	2	2	2	896	426	45	14	95.544319	3000
2	1	20	0	0	0	785	314	415	7	-1	
3	1	20	1	0	0	785	314	415	7	-1	
4	1	20	1	1	0	785	314	415	7	-1	
5	1	20	1	1	1	785	314	415	7	95.000000	 
2	1	21	0	0	0	790	456	405	277	-1	
3	1	21	1	0	0	790	456	404	78	-1	
4	1	21	1	1	0	791	456	403	22	-1	
5	1	21	1	1	1	791	462	57	15	93.204643	Article
5	1	21	1	1	2	855	461	99	17	91.032341	Lodgement
5	1	21	1	1	3	1118	459	15	14	66.908676	x1
5	1	21	1	1	4	1146	456	48	17	86.988640	$0.00
4	1	21	1	2	0	790	483	327	27	-1	
5	1	21	1	2	1	790	481	3	29	44.680550	|
5	1	21	1	2	2	804	486	50	15	91.660721	Small
5	1	21	1	2	3	860	486	51	14	96.064766	Letter
5	1	21	1	2	4	917	485	32	14	96.822678	size
5	1	21	1	2	5	956	484	70	17	92.655380	(prepaid
5	1	21	1	2	6	1032	483	85	17	92.655380	envelope)
4	1	21	1	3	0	790	509	164	25	-1	
5	1	21	1	3	1	790	512	3	22	70.455933	H
5	1	21	1	3	2	805	509	71	17	96.877525	Tracking
5	1	21	1	3	3	884	509	70	14	96.877510	number:
3	1	21	2	0	0	790	531	319	27	-1	
4	1	21	2	1	0	790	531	319	27	-1	
5	1	21	2	1	1	790	536	3	22	25.182167	i
5	1	21	2	1	2	805	534	61	14	90.214699	RPP44
5	1	21	2	1	3	870	534	56	13	94.646828	63800
5	1	21	2	1	4	933	533	58	14	94.553818	09400
5	1	21	2	1	5	997	532	50	14	96.039902	60515
5	1	21	2	1	6	1054	531	55	15	96.138199	93603
3	1	21	3	0	0	791	558	152	21	-1	
4	1	21	3	1	0	791	558	152	21	-1	
5	1	21	3	1	1	791	559	2	20	56.073944	}
5	1	21	3	1	2	806	558	85	14	96.444550	Postcode:
5	1	21	3	1	3	897	558	46	14	96.444550	3000
3	1	21	4	0	0	791	588	404	53	-1	
4	1	21	4	1	0	792	588	403	22	-1	
5	1	21	4	1	1	792	593	58	15	93.216820	Article
5	1	21	4	1	2	856	593	99	17	81.883415	Lodgement
5	1	21	4	1	3	1119	590	15	14	63.344177	x1
5	1	21	4	1	4	1147	588	48	17	85.795090	$0.00
4	1	21	4	2	0	791	612	327	29	-1	
5	1	21	4	2	1	791	612	3	29	57.644901	H
5	1	21	4	2	2	805	617	50	14	94.615631	Small
5	1	21	4	2	3	861	617	51	14	96.781418	Letter
5	1	21	4	2	4	918	616	33	14	96.831902	size
5	1	21	4	2	5	957	615	70	18	96.764381	(prepaid
5	1	21	4	2	6	1033	614	85	18	96.851112	envelope)
3	1	21	5	0	0	791	640	164	26	-1	
4	1	21	5	1	0	791	640	164	26	-1	
5	1	21	5	1	1	791	643	3	23	88.459000	i
5	1	21	5	1	2	805	641	72	17	96.300362	Tracking
5	1	21	5	1	3	885	640	70	15	95.402679	number:
3	1	21	6	0	0	791	664	320	26	-1	
4	1	21	6	1	0	791	664	320	26	-1	
5	1	21	6	1	1	791	667	3	23	70.745735	i
5	1	21	6	1	2	806	666	61	14	92.386826	RPP44
5	1	21	6	1	3	872	666	55	13	96.469360	63800
5	1	21	6	1	4	934	665	58	14	95.032356	09400
5	1	21	6	1	5	998	664	50	14	95.931137	60515
5	1	21	6	1	6	1055	664	56	13	94.317688	92606
3	1	21	7	0	0	792	689	152	24	-1	
4	1	21	7	1	0	792	689	152	24	-1	
5	1	21	7	1	1	792	692	2	21	63.737343	H
5	1	21	7	1	2	806	689	86	15	96.470642	Postcode:
5	1	21	7	1	3	898	689	46	14	96.210052	3000
3	1	21	8	0	0	792	711	328	22	-1	
4	1	21	8	1	0	792	711	328	22	-1	
5	1	21	8	1	1	792	715	2	18	71.722298	}
5	1	21	8	1	2	807	714	57	14	96.968544	Please
5	1	21	8	1	3	871	712	47	15	96.097069	retain
5	1	21	8	1	4	925	716	19	10	96.373856	as
5	1	21	8	1	5	951	711	44	18	94.788788	proof
5	1	21	8	1	6	1000	711	16	14	96.828293	of
5	1	21	8	1	7	1022	711	98	17	84.890694	lodgement.
2	1	22	0	0	0	787	734	417	5	-1	
3	1	22	1	0	0	787	734	417	5	-1	
4	1	22	1	1	0	787	734	417	5	-1	
5	1	22	1	1	1	787	734	417	5	95.000000	 
2	1	23	0	0	0	789	749	74	15	-1	
3	1	23	1	0	0	789	749	74	15	-1	
4	1	23	1	1	0	789	749	74	15	-1	
5	1	23	1	1	1	789	749	74	15	94.736694	Subtotal
2	1	24	0	0	0	863	747	341	60	-1	
3	1	24	1	0	0	863	747	341	60	-1	
4	1	24	1	1	0	863	747	341	60	-1	
5	1	24	1	1	1	863	747	341	60	95.000000	  
2	1	25	0	0	0	788	870	417	7	-1	
3	1	25	1	0	0	788	870	417	7	-1	
4	1	25	1	1	0	788	870	417	7	-1	
5	1	25	1	1	1	788	870	417	7	95.000000	 
2	1	26	0	0	0	789	787	415	137	-1	
3	1	26	1	0	0	789	787	66	21	-1	
4	1	26	1	1	0	789	787	66	21	-1	
5	1	26	1	1	1	789	787	66	21	25.891769	Total
3	1	26	2	0	0	789	824	301	18	-1	
4	1	26	2	1	0	789	824	301	18	-1	
5	1	26	2	1	1	789	827	45	13	67.113358	*LPO
5	1	26	2	1	2	841	825	79	17	96.412437	supplied,
5	1	26	2	1	3	926	825	42	17	96.685410	price
5	1	26	2	1	4	975	824	72	14	96.309242	includes
5	1	26	2	1	5	1053	824	37	14	96.309242	GST
3	1	26	3	0	0	789	845	415	57	-1	
4	1	26	3	1	0	789	845	415	20	-1	
5	1	26	3	1	1	789	851	37	13	95.285492	GST
5	1	26	3	1	2	832	854	18	10	95.285492	on
5	1	26	3	1	3	859	850	35	13	96.897888	LPO
5	1	26	3	1	4	899	849	67	14	96.718987	Taxable
5	1	26	3	1	5	972	848	63	17	96.797409	Supply:
5	1	26	3	1	6	1154	845	50	15	96.707901	$0.00
4	1	26	3	2	0	789	886	160	16	-1	
5	1	26	3	2	1	789	888	72	14	96.336403	Amount
5	1	26	3	2	2	866	886	83	15	0.000000	tendered
3	1	26	4	0	0	790	905	414	19	-1	
4	1	26	4	1	0	790	905	414	19	-1	
5	1	26	4	1	1	790	910	42	14	96.858231	Cash
5	1	26	4	1	2	1155	905	49	17	96.174019	$0.00
2	1	27	0	0	0	788	930	418	7	-1	
3	1	27	1	0	0	788	930	418	7	-1	
4	1	27	1	1	0	788	930	418	7	-1	
5	1	27	1	1	1	788	930	418	7	95.000000	 
2	1	28	0	0	0	1118	975	3	62	-1	
3	1	28	1	0	0	1118	975	3	62	-1	
4	1	28	1	1	0	1118	975	3	62	-1	
5	1	28	1	1	1	1118	975	3	62	95.000000	 
2	1	29	0	0	0	800	975	396	66	-1	
3	1	29	1	0	0	800	975	396	66	-1	
4	1	29	1	1	0	800	975	396	66	-1	
5	1	29	1	1	1	800	978	49	63	33.851006	IM
2	1	30	0	0	0	869	1052	258	16	-1	
3	1	30	1	0	0	869	1052	258	16	-1	
4	1	30	1	1	0	869	1052	258	16	-1	
5	1	30	1	1	1	869	1052	258	16	43.529839	326174:721705389750993735
2	1	31	0	0	0	882	978	3	62	-1	
3	1	31	1	0	0	882	978	3	62	-1	
4	1	31	1	1	0	882	978	3	62	-1	
5	1	31	1	1	1	882	978	3	62	95.000000	 
2	1	32	0	0	0	886	978	3	62	-1	
3	1	32	1	0	0	886	978	3	62	-1	
4	1	32	1	1	0	886	978	3	62	-1	
5	1	32	1	1	1	886	978	3	62	95.000000	 
2	1	33	0	0	0	918	977	3	63	-1	
3	1	33	1	0	0	918	977	3	63	-1	
4	1	33	1	1	0	918	977	3	63	-1	
5	1	33	1	1	1	918	977	3	63	95.000000	 
2	1	34	0	0	0	995	977	3	62	-1	
3	1	34	1	0	0	995	977	3	62	-1	
4	1	34	1	1	0	995	977	3	62	-1	
5	1	34	1	1	1	995	977	3	62	95.000000	 
2	1	35	0	0	0	1002	977	4	61	-1	
3	1	35	1	0	0	1002	977	4	61	-1	
4	1	35	1	1	0	1002	977	4	61	-1	
5	1	35	1	1	1	1002	977	4	61	95.000000	 
2	1	36	0	0	0	1009	977	4	62	-1	
3	1	36	1	0	0	1009	977	4	62	-1	
4	1	36	1	1	0	1009	977	4	62	-1	
5	1	36	1	1	1	1009	977	4	62	95.000000	 
2	1	37	0	0	0	1016	977	3	61	-1	
3	1	37	1	0	0	1016	977	3	61	-1	
4	1	37	1	1	0	1016	977	3	61	-1	
5	1	37	1	1	1	1016	977	3	61	95.000000	 
2	1	38	0	0	0	1048	976	3	62	-1	
3	1	38	1	0	0	1048	976	3	62	-1	
4	1	38	1	1	0	1048	976	3	62	-1	
5	1	38	1	1	1	1048	976	3	62	95.000000	 
2	1	39	0	0	0	1053	976	3	62	-1	
3	1	39	1	0	0	1053	976	3	62	-1	
4	1	39	1	1	0	1053	976	3	62	-1	
5	1	39	1	1	1	1053	976	3	62	95.000000	 
2	1	40	0	0	0	1070	976	3	62	-1	
3	1	40	1	0	0	1070	976	3	62	-1	
4	1	40	1	1	0	1070	976	3	62	-1	
5	1	40	1	1	1	1070	976	3	62	95.000000	 
2	1	41	0	0	0	1125	976	3	61	-1	
3	1	41	1	0	0	1125	976	3	61	-1	
4	1	41	1	1	0	1125	976	3	61	-1	
5	1	41	1	1	1	1125	976	3	61	95.000000	 
2	1	42	0	0	0	793	1153	123	11	-1	
3	1	42	1	0	0	793	1153	123	11	-1	
4	1	42	1	1	0	793	1153	123	11	-1	
5	1	42	1	1	1	793	1153	123	11	95.000000	 
2	1	43	0	0	0	1234	17	7	1076	-1	
3	1	43	1	0	0	1234	17	7	1076	-1	
4	1	43	1	1	0	1234	17	7	1076	-1	
5	1	43	1	1	1	1234	17	7	1076	95.000000	 
